Set_Name,Theme,Pieces,Price,Pages,Minifigures,Unique_Pieces,Kjønn
The Hulkbuster: Ultron Edition,Marvel,1363.0,119.99,184.0,1.0,268.0,gutt
Dragon Pit,NINJAGO,1660.0,129.99,244.0,9.0,424.0,gutt
Sanctum Sanctorum Showdown,Marvel,1004.0,99.99,220.0,5.0,312.0,gutt
The Upside Down,Stranger Things,2287.0,199.99,300.0,8.0,533.0,gutt
Corner Garage,Creator Expert,2569.0,199.99,236.0,6.0,564.0,gutt
Tantive IV,Star Wars,1768.0,199.99,260.0,6.0,387.0,gutt
A-wing Starfighter,Star Wars,1673.0,199.99,272.0,1.0,355.0,gutt
Imperial TIE Fighter,Star Wars,519.0,69.99,76.0,4.0,129.0,gutt
Indoraptor Rampage at Lockwood Estate,Jurassic World,1019.0,129.99,176.0,6.0,257.0,gutt
City Hospital,City,861.0,99.99,329.0,13.0,362.0,gutt
Dieselnaut,NINJAGO,1179.0,109.99,156.0,7.0,308.0,gutt
Sandcrawler,Star Wars,1239.0,139.99,188.0,6.0,277.0,gutt
Mining Experts Site,City,883.0,99.99,244.0,6.0,284.0,gutt
Capital City,City,1211.0,149.99,441.0,13.0,489.0,gutt
Downtown Diner,Creator Expert,2480.0,169.99,200.0,6.0,508.0,gutt
Kessel Run Millennium Falcon,Star Wars,1414.0,169.99,208.0,7.0,318.0,gutt
Temple of Resurrection,NINJAGO,765.0,69.99,144.0,8.0,297.0,gutt
Roller Coaster,Creator Expert,4124.0,379.99,440.0,11.0,556.0,gutt
NINJAGO City Docks,NINJAGO,3553.0,229.99,380.0,14.0,690.0,gutt
Betrayal at Cloud City,Star Wars,2812.0,349.99,388.0,19.0,676.0,gutt
Imperial Star Destroyer,Star Wars,4784.0,699.99,444.0,2.0,445.0,gutt
Monkie Kid's Delivery Bike,Monkie Kid,22.0,4.99,3.0,1.0,18.0,gutt
Road Worker,City,58.0,3.99,3.0,1.0,33.0,gutt
Police Water Plane,City,48.0,3.99,3.0,1.0,36.0,gutt
Arctic Ice Saw,City,43.0,3.99,3.0,1.0,34.0,gutt
Space Satellite,City,36.0,3.99,3.0,1.0,24.0,gutt
Beach Buggy,City,45.0,4.99,3.0,1.0,29.0,gutt
DJ,Star Wars,22.0,4.99,3.0,1.0,15.0,gutt
Ninjago Minifigure Pack,NINJAGO,59.0,12.99,3.0,4.0,33.0,gutt
Spider-Man and the Museum Break-In,Marvel,49.0,14.99,3.0,3.0,33.0,gutt
Falcon & Black Widow Team-Up,Marvel,60.0,14.99,3.0,3.0,34.0,gutt
Spinjitzu Burst - Cole,NINJAGO,48.0,9.99,3.0,1.0,31.0,gutt
Spinjitzu Burst Lloyd,NINJAGO,48.0,9.99,3.0,1.0,30.0,gutt
Golden Zane Accessory Set ,NINJAGO,73.0,12.99,5.0,4.0,31.0,gutt
Obi-Wan Kenobi - Collectable Minifigure,Star Wars,12.0,3.99,6.0,1.0,10.0,gutt
Batcave,Batman,33.0,29.99,20.0,3.0,25.0,gutt
Quantum Realm Explorers,Marvel,200.0,19.99,64.0,3.0,100.0,gutt
People Pack - Space Research and Development,City,209.0,39.99,68.0,15.0,146.0,gutt
Wu's Battle Dragon,NINJAGO,321.0,19.99,68.0,2.0,109.0,gutt
Iron Man Armory,Marvel,258.0,29.99,68.0,3.0,110.0,gutt
Dilophosaurus Outpost Attack,Jurassic World,289.0,39.99,72.0,3.0,124.0,gutt
Black Widow's Helicopter Chase,Marvel,271.0,29.99,80.0,3.0,125.0,gutt
Venom Crawler,Marvel,413.0,29.99,80.0,3.0,132.0,gutt
Armored Assault Tank (AAT),Star Wars,286.0,39.99,80.0,3.0,121.0,gutt
Captain Marvel and The Skrull Attack,Marvel,307.0,29.99,80.0,3.0,126.0,gutt
501st Legion Clone Troopers,Star Wars,285.0,29.99,84.0,3.0,125.0,gutt
Hoth Medical Chamber,Star Wars,255.0,29.99,84.0,4.0,120.0,gutt
Sandspeeder,Star Wars,278.0,29.99,84.0,2.0,110.0,gutt
Journey to the Skull Dungeons,NINJAGO,401.0,29.99,92.0,4.0,164.0,gutt
White Dragon Horse Bike,Monkie Kid,259.0,34.99,96.0,3.0,134.0,gutt
Storm Fighter Battle,NINJAGO,165.0,29.99,100.0,3.0,96.0,gutt
Air Race,City,140.0,39.99,108.0,3.0,84.0,gutt
Iron Bull Tank,Monkie Kid,430.0,49.99,124.0,3.0,160.0,gutt
Jurassic Park Velociraptor Chase ,Jurassic World,360.0,39.99,132.0,4.0,195.0,gutt
Winter Village Fire Station,Creator Expert,1166.0,99.99,136.0,8.0,323.0,gutt
Fire Stone Mech,NINJAGO,968.0,69.99,136.0,5.0,260.0,gutt
Death Star Final Duel,Star Wars,775.0,99.99,140.0,4.0,241.0,gutt
Monkie Kid's Cloud Jet,Monkie Kid,390.0,59.99,168.0,4.0,199.0,gutt
Zane's Mino Creature,NINJAGO,616.0,49.99,172.0,4.0,202.0,gutt
Police Brick Box,City,301.0,39.99,188.0,4.0,162.0,gutt
Demon Bull King,Monkie Kid,585.0,89.99,200.0,3.0,264.0,gutt
Skull Sorcerer's Dragon,NINJAGO,1016.0,79.99,200.0,6.0,303.0,gutt
Pigsy's Food Truck,Monkie Kid,455.0,69.99,212.0,4.0,299.0,gutt
Y-wing Starfighter,Star Wars,1967.0,199.99,220.0,2.0,359.0,gutt
Red Son's Inferno Truck,Monkie Kid,1111.0,119.99,244.0,5.0,350.0,gutt
Skull Sorcerer's Dungeons,NINJAGO,1171.0,99.99,256.0,8.0,425.0,gutt
Monkey King Warrior Mech,Monkie Kid,975.0,149.99,272.0,6.0,435.0,gutt
Haunted House,Creator Expert,3231.0,249.99,312.0,8.0,467.0,gutt
Destiny's Bounty,NINJAGO,1781.0,129.99,316.0,7.0,479.0,gutt
Ski Resort,City,806.0,89.99,328.0,11.0,348.0,gutt
Disney Train and Station,Powered UP,2925.0,329.99,397.0,5.0,509.0,gutt
1989 Batmobile,Batman,3306.0,249.99,404.0,3.0,484.0,gutt
Jurassic Park: T. rex Rampage,Jurassic World,3120.0,249.99,464.0,6.0,525.0,gutt
Monkie Kid's Team Secret HQ,Monkie Kid,1105.0,169.99,556.0,7.0,622.0,gutt
